"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"59779","30-09-18 21:30","Portugal","Liga Portugal","2018/2019","BSAD","Braga","0","3","A","0","2","A","0","1","A"
"59780","30-09-18 19:30","Portugal","Liga Portugal","2018/2019","Vitoria Guimaraes","Vitoria Setubal","1","1","D","0","0","D","1","1","D"
"59781","30-09-18 17:00","Portugal","Liga Portugal","2018/2019","Nacional","Santa Clara","0","3","A","0","1","A","0","2","A"
"59782","29-09-18 22:00","Portugal","Liga Portugal","2018/2019","Sporting CP","Maritimo","2","0","H","2","0","H","0","0","D"
"59783","29-09-18 20:00","Portugal","Liga Portugal","2018/2019","Rio Ave","Boavista","2","1","H","2","0","H","0","1","A"
"59784","29-09-18 17:30","Portugal","Liga Portugal","2018/2019","Moreirense","Feirense","1","0","H","0","0","D","1","0","H"
"59785","28-09-18 21:30","Portugal","Liga Portugal","2018/2019","FC Porto","Tondela","1","0","H","0","0","D","1","0","H"
"59786","27-09-18 21:15","Portugal","Liga Portugal","2018/2019","Chaves","Benfica","2","2","D","0","1","A","2","1","H"
"59787","24-09-18 21:15","Portugal","Liga Portugal","2018/2019","Braga","Sporting CP","1","0","H","0","0","D","1","0","H"
"59788","23-09-18 21:30","Portugal","Liga Portugal","2018/2019","Portimonense","Vitoria Guimaraes","3","2","H","1","0","H","2","2","D"
"59789","23-09-18 19:30","Portugal","Liga Portugal","2018/2019","Benfica","Aves","2","0","H","1","0","H","1","0","H"
"59790","23-09-18 17:00","Portugal","Liga Portugal","2018/2019","Feirense","Nacional","0","0","D","0","0","D","0","0","D"
"59791","23-09-18 17:00","Portugal","Liga Portugal","2018/2019","Tondela","Moreirense","2","0","H","1","0","H","1","0","H"
"59792","22-09-18 22:00","Portugal","Liga Portugal","2018/2019","Vitoria Setubal","FC Porto","0","2","A","0","1","A","0","1","A"
"59793","22-09-18 20:00","Portugal","Liga Portugal","2018/2019","Maritimo","BSAD","0","0","D","0","0","D","0","0","D"
"59794","22-09-18 17:30","Portugal","Liga Portugal","2018/2019","Santa Clara","Rio Ave","1","3","A","0","0","D","1","3","A"
"59795","21-09-18 21:30","Portugal","Liga Portugal","2018/2019","Boavista","Chaves","1","2","A","0","1","A","1","1","D"
"59796","02-09-18 21:30","Portugal","Liga Portugal","2018/2019","FC Porto","Moreirense","3","0","H","2","0","H","1","0","H"
"59797","02-09-18 19:30","Portugal","Liga Portugal","2018/2019","Nacional","Benfica","0","4","A","0","2","A","0","2","A"
"59798","02-09-18 17:00","Portugal","Liga Portugal","2018/2019","Aves","Maritimo","0","1","A","0","1","A","0","0","D"
"59799","02-09-18 17:00","Portugal","Liga Portugal","2018/2019","Rio Ave","Portimonense","2","1","H","0","1","A","2","0","H"
"59800","01-09-18 22:00","Portugal","Liga Portugal","2018/2019","Sporting CP","Feirense","1","0","H","0","0","D","1","0","H"
"59801","01-09-18 20:00","Portugal","Liga Portugal","2018/2019","Santa Clara","Boavista","4","2","H","1","1","D","3","1","H"
"59802","01-09-18 17:30","Portugal","Liga Portugal","2018/2019","BSAD","Vitoria Setubal","0","0","D","0","0","D","0","0","D"
"59803","31-08-18 22:15","Portugal","Liga Portugal","2018/2019","Vitoria Guimaraes","Tondela","1","0","H","1","0","H","0","0","D"
