"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"83887","21-01-26 21:00","Europe","Champions League","2025/2026","Atalanta","Ath Bilbao","2","3","A","1","0","H","1","3","A"
"83888","21-01-26 21:00","Europe","Champions League","2025/2026","Bayern Munich","Royale Union SG","2","0","H","0","0","D","2","0","H"
"83889","21-01-26 21:00","Europe","Champions League","2025/2026","Chelsea","Pafos","1","0","H","0","0","D","1","0","H"
"83890","21-01-26 21:00","Europe","Champions League","2025/2026","Juventus","Benfica","2","0","H","0","0","D","2","0","H"
"83891","21-01-26 21:00","Europe","Champions League","2025/2026","Marseille","Liverpool","0","3","A","0","1","A","0","2","A"
"83892","21-01-26 21:00","Europe","Champions League","2025/2026","Newcastle","PSV","3","0","H","2","0","H","1","0","H"
"83893","21-01-26 21:00","Europe","Champions League","2025/2026","Slavia Prague","Barcelona","2","4","A","2","2","D","0","2","A"
"83894","21-01-26 18:45","Europe","Champions League","2025/2026","Galatasaray","Atl. Madrid","1","1","D","1","1","D","0","0","D"
"83895","21-01-26 18:45","Europe","Champions League","2025/2026","Qarabag","Eintracht Frankfurt","3","2","H","1","1","D","2","1","H"
"82056","20-01-26 21:00","Europe","Champions League","2025/2026","FC Copenhagen","Napoli","1","1","D","0","1","A","1","0","H"
"82057","20-01-26 21:00","Europe","Champions League","2025/2026","Inter","Arsenal","1","3","A","1","2","A","0","1","A"
"82058","20-01-26 21:00","Europe","Champions League","2025/2026","Olympiacos Piraeus","Bayer Leverkusen","2","0","H","2","0","H","0","0","D"
"82059","20-01-26 21:00","Europe","Champions League","2025/2026","Real Madrid","Monaco","6","1","H","2","0","H","4","1","H"
"82060","20-01-26 21:00","Europe","Champions League","2025/2026","Sporting CP","PSG","2","1","H","0","0","D","2","1","H"
"82061","20-01-26 21:00","Europe","Champions League","2025/2026","Tottenham","Dortmund","2","0","H","2","0","H","0","0","D"
"82062","20-01-26 21:00","Europe","Champions League","2025/2026","Villarreal","Ajax","1","2","A","0","0","D","1","2","A"
"82063","20-01-26 18:45","Europe","Champions League","2025/2026","Bodo/Glimt","Manchester City","3","1","H","2","0","H","1","1","D"
"82064","20-01-26 16:30","Europe","Champions League","2025/2026","Kairat Almaty","Club Brugge KV","1","4","A","0","2","A","1","2","A"
"75193","10-12-25 21:00","Europe","Champions League","2025/2026","Ath Bilbao","PSG","0","0","D","0","0","D","0","0","D"
"75194","10-12-25 21:00","Europe","Champions League","2025/2026","Bayer Leverkusen","Newcastle","2","2","D","1","0","H","1","2","A"
"75195","10-12-25 21:00","Europe","Champions League","2025/2026","Benfica","Napoli","2","0","H","1","0","H","1","0","H"
"75196","10-12-25 21:00","Europe","Champions League","2025/2026","Club Brugge KV","Arsenal","0","3","A","0","1","A","0","2","A"
"75197","10-12-25 21:00","Europe","Champions League","2025/2026","Dortmund","Bodo/Glimt","2","2","D","1","1","D","1","1","D"
"75198","10-12-25 21:00","Europe","Champions League","2025/2026","Juventus","Pafos","2","0","H","0","0","D","2","0","H"
"75199","10-12-25 21:00","Europe","Champions League","2025/2026","Real Madrid","Manchester City","1","2","A","1","2","A","0","0","D"
"75200","10-12-25 18:45","Europe","Champions League","2025/2026","Qarabag","Ajax","2","4","A","1","1","D","1","3","A"
"75201","10-12-25 18:45","Europe","Champions League","2025/2026","Villarreal","FC Copenhagen","2","3","A","0","1","A","2","2","D"
"75177","09-12-25 21:00","Europe","Champions League","2025/2026","Atalanta","Chelsea","2","1","H","0","1","A","2","0","H"
"75178","09-12-25 21:00","Europe","Champions League","2025/2026","Barcelona","Eintracht Frankfurt","2","1","H","0","1","A","2","0","H"
"75179","09-12-25 21:00","Europe","Champions League","2025/2026","Inter","Liverpool","0","1","A","0","0","D","0","1","A"
"75180","09-12-25 21:00","Europe","Champions League","2025/2026","Monaco","Galatasaray","1","0","H","0","0","D","1","0","H"
"75181","09-12-25 21:00","Europe","Champions League","2025/2026","PSV","Atl. Madrid","2","3","A","1","1","D","1","2","A"
