"id","matchDate","Country","League","Season","homeTeam","awayTeam","FTHG","FTAG","FTR","1HHG","1HAG","1HR","2HHG","2HAG","2HR"
"8554","04-03-22 20:45","Italy","Serie A","2021/2022","Inter","Salernitana","5","0","H","2","0","H","3","0","H"
"8555","28-02-22 20:50","Italy","Serie A","2021/2022","Atalanta","Sampdoria","4","0","H","2","0","H","2","0","H"
"8556","27-02-22 20:50","Italy","Serie A","2021/2022","Lazio","Napoli","1","2","A","0","0","D","1","2","A"
"8557","27-02-22 18:05","Italy","Serie A","2021/2022","Spezia","AS Roma","0","1","A","0","0","D","0","1","A"
"8558","27-02-22 15:05","Italy","Serie A","2021/2022","Verona","Venezia","3","1","H","0","0","D","3","1","H"
"8559","27-02-22 12:35","Italy","Serie A","2021/2022","Torino","Cagliari","1","2","A","0","1","A","1","1","D"
"8560","26-02-22 20:45","Italy","Serie A","2021/2022","Sassuolo","Fiorentina","2","1","H","1","0","H","1","1","D"
"8561","26-02-22 18:05","Italy","Serie A","2021/2022","Empoli","Juventus","2","3","A","1","2","A","1","1","D"
"8562","26-02-22 15:05","Italy","Serie A","2021/2022","Salernitana","Bologna","1","1","D","0","1","A","1","0","H"
"8563","25-02-22 21:00","Italy","Serie A","2021/2022","Genoa","Inter","0","0","D","0","0","D","0","0","D"
"8564","25-02-22 18:45","Italy","Serie A","2021/2022","AC Milan","Udinese","1","1","D","1","0","H","0","1","A"
"8565","21-02-22 21:00","Italy","Serie A","2021/2022","Bologna","Spezia","2","1","H","1","1","D","1","0","H"
"8566","21-02-22 19:00","Italy","Serie A","2021/2022","Cagliari","Napoli","1","1","D","0","0","D","1","1","D"
"8567","20-02-22 20:45","Italy","Serie A","2021/2022","Udinese","Lazio","1","1","D","1","1","D","0","0","D"
"8568","20-02-22 18:00","Italy","Serie A","2021/2022","Inter","Sassuolo","0","2","A","0","2","A","0","0","D"
"8569","20-02-22 15:00","Italy","Serie A","2021/2022","Venezia","Genoa","1","1","D","1","1","D","0","0","D"
"8570","20-02-22 12:30","Italy","Serie A","2021/2022","Fiorentina","Atalanta","1","0","H","0","0","D","1","0","H"
"8571","19-02-22 20:45","Italy","Serie A","2021/2022","Salernitana","AC Milan","2","2","D","1","1","D","1","1","D"
"8572","19-02-22 18:00","Italy","Serie A","2021/2022","AS Roma","Verona","2","2","D","0","2","A","2","0","H"
"8573","19-02-22 15:00","Italy","Serie A","2021/2022","Sampdoria","Empoli","2","0","H","2","0","H","0","0","D"
"8574","18-02-22 20:45","Italy","Serie A","2021/2022","Juventus","Torino","1","1","D","1","0","H","0","1","A"
"8575","14-02-22 20:45","Italy","Serie A","2021/2022","Spezia","Fiorentina","1","2","A","0","1","A","1","1","D"
"8576","13-02-22 20:45","Italy","Serie A","2021/2022","Atalanta","Juventus","1","1","D","0","0","D","1","1","D"
"8577","13-02-22 18:00","Italy","Serie A","2021/2022","Sassuolo","AS Roma","2","2","D","0","1","A","2","1","H"
"8578","13-02-22 15:00","Italy","Serie A","2021/2022","Empoli","Cagliari","1","1","D","1","0","H","0","1","A"
"8579","13-02-22 15:00","Italy","Serie A","2021/2022","Genoa","Salernitana","1","1","D","1","1","D","0","0","D"
"8580","13-02-22 15:00","Italy","Serie A","2021/2022","Verona","Udinese","4","0","H","2","0","H","2","0","H"
"8581","13-02-22 12:30","Italy","Serie A","2021/2022","AC Milan","Sampdoria","1","0","H","1","0","H","0","0","D"
"8582","12-02-22 20:45","Italy","Serie A","2021/2022","Torino","Venezia","1","2","A","1","1","D","0","1","A"
"8583","12-02-22 18:00","Italy","Serie A","2021/2022","Napoli","Inter","1","1","D","1","0","H","0","1","A"
"8584","12-02-22 15:00","Italy","Serie A","2021/2022","Lazio","Bologna","3","0","H","1","0","H","2","0","H"
"8585","07-02-22 20:45","Italy","Serie A","2021/2022","Salernitana","Spezia","2","2","D","2","2","D","0","0","D"
"8586","06-02-22 20:45","Italy","Serie A","2021/2022","Juventus","Verona","2","0","H","1","0","H","1","0","H"
"8587","06-02-22 18:00","Italy","Serie A","2021/2022","Udinese","Torino","2","0","H","0","0","D","2","0","H"
"8588","06-02-22 15:00","Italy","Serie A","2021/2022","Bologna","Empoli","0","0","D","0","0","D","0","0","D"
"8589","06-02-22 15:00","Italy","Serie A","2021/2022","Sampdoria","Sassuolo","4","0","H","2","0","H","2","0","H"
