"id","matchDate","Country","League","Season","homeTeam","awayTeam","H","D","A","O05","U05","O15","U15","O25","U25","O35","U35","O45","U45","BTTSY","BTTSN"
"77837","10-01-26 14:00","Spain","LaLiga","2025/2026","Oviedo","Betis","4.20","3.53","1.97","1.05","10.50","1.29","3.68","2.01","1.88","3.43","1.33","6.48","1.12","1.78","2.03"
"76527","09-01-26 21:00","Spain","LaLiga","2025/2026","Getafe","Real Sociedad","3.58","3.07","2.35","1.13","6.32","1.58","2.42","2.86","1.43","5.53","1.15","11.10","1.05","2.22","1.66"
"75783","04-01-26 21:00","Spain","LaLiga","2025/2026","Real Sociedad","Atl. Madrid","4.04","3.90","1.90","1.03","13.00","1.26","4.00","1.80","2.10","2.82","1.45","5.26","1.17","1.65","2.24"
"75776","04-01-26 18:30","Spain","LaLiga","2025/2026","Alaves","Oviedo","1.99","2.85","5.62","1.21","4.50","1.80","2.10","3.37","1.34","7.24","1.10","14.00","1.03","2.58","1.50"
"75777","04-01-26 18:30","Spain","LaLiga","2025/2026","Mallorca","Girona","2.34","3.16","3.47","1.09","8.00","1.40","3.00","2.34","1.62","4.37","1.22","8.82","1.07","1.90","1.90"
"75768","04-01-26 16:15","Spain","LaLiga","2025/2026","Real Madrid","Betis","1.50","4.69","6.50","1.01","15.50","1.17","5.26","1.54","2.50","2.32","1.63","4.16","1.24","1.65","2.24"
"75748","04-01-26 14:00","Spain","LaLiga","2025/2026","Sevilla","Levante","1.78","3.92","4.65","1.03","13.00","1.26","4.00","1.89","2.00","3.01","1.40","5.81","1.14","1.72","2.12"
"75735","03-01-26 21:00","Spain","LaLiga","2025/2026","Espanyol","Barcelona","6.31","4.64","1.52","1.02","19.50","1.17","5.32","1.45","2.79","2.11","1.74","3.82","1.28","1.60","2.34"
"75722","03-01-26 18:30","Spain","LaLiga","2025/2026","Elche","Villarreal","3.36","3.50","2.24","1.03","13.00","1.23","4.33","1.80","2.10","2.82","1.45","5.26","1.17","1.60","2.34"
"75715","03-01-26 16:15","Spain","LaLiga","2025/2026","Osasuna","Ath Bilbao","3.17","2.94","2.66","1.11","6.84","1.46","2.77","2.41","1.58","4.45","1.22","10.10","1.06","1.96","1.85"
"75704","03-01-26 14:00","Spain","LaLiga","2025/2026","Celta Vigo","Valencia","2.06","3.36","4.03","1.08","8.42","1.37","3.16","2.21","1.73","4.16","1.24","8.40","1.08","1.90","1.90"
"75696","02-01-26 21:00","Spain","LaLiga","2025/2026","Rayo Vallecano","Getafe","2.06","2.95","4.86","1.17","5.32","1.71","2.23","3.18","1.37","6.83","1.11","13.20","1.03","2.58","1.50"
"75498","22-12-25 21:00","Spain","LaLiga","2025/2026","Ath Bilbao","Espanyol","1.89","3.38","4.86","1.08","8.42","1.37","3.16","2.23","1.68","4.16","1.24","8.40","1.08","1.96","1.85"
"75482","21-12-25 21:00","Spain","LaLiga","2025/2026","Betis","Getafe","1.75","3.41","5.97","1.11","6.84","1.50","2.63","2.50","1.54","5.01","1.18","10.10","1.06","2.31","1.62"
"75483","21-12-25 18:30","Spain","LaLiga","2025/2026","Elche","Rayo Vallecano","2.57","2.98","3.28","1.13","6.32","1.50","2.63","2.50","1.54","5.01","1.18","10.10","1.06","2.02","1.80"
"75484","21-12-25 16:15","Spain","LaLiga","2025/2026","Villarreal","Barcelona","4.21","4.51","1.75","1.01","28.00","1.10","7.37","1.34","3.37","1.88","2.01","2.86","1.43","1.41","2.94"
"75485","21-12-25 14:00","Spain","LaLiga","2025/2026","Girona","Atl. Madrid","5.42","3.87","1.70","1.05","11.00","1.26","4.00","1.89","2.00","3.18","1.37","5.81","1.14","1.76","2.06"
"75448","20-12-25 21:00","Spain","LaLiga","2025/2026","Real Madrid","Sevilla","1.23","7.69","11.70","1.02","26.00","1.11","6.84","1.37","3.16","2.01","1.88","3.21","1.36","1.90","1.90"
"75449","20-12-25 18:30","Spain","LaLiga","2025/2026","Osasuna","Alaves","2.29","2.93","3.97","1.14","5.79","1.67","2.32","2.86","1.43","6.02","1.14","12.50","1.03","2.33","1.61"
"75450","20-12-25 16:15","Spain","LaLiga","2025/2026","Levante","Real Sociedad","3.06","3.37","2.45","1.06","9.47","1.30","3.58","2.01","1.88","3.43","1.33","6.90","1.11","1.78","2.03"
"75451","20-12-25 14:00","Spain","LaLiga","2025/2026","Oviedo","Celta Vigo","3.71","3.33","2.17","1.10","7.37","1.43","2.90","2.32","1.63","4.45","1.22","9.03","1.07","1.96","1.85"
"75375","19-12-25 21:00","Spain","LaLiga","2025/2026","Valencia","Mallorca","2.15","3.28","3.84","1.12","6.67","1.50","2.62","2.57","1.52","4.92","1.18","9.98","1.06","1.96","1.85"
